meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1235,9515,31,2,2024-05-19T13:04:46.901000+00:00,26.31,28.866,27.747,211.0,250.0,False,82.923,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2048, 2048]",282.0
1235,9515,18,2,2024-05-19T13:04:47.565000+00:00,26.263,28.908,27.944,210.0,249.0,False,83.115,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2048, 2048]",281.0
1235,9515,23,2,2024-05-19T13:04:48.030000+00:00,26.3,28.926,27.889,216.0,256.0,False,83.115,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2048, 2049]",278.0
1235,9515,10,2,2024-05-19T13:04:48.306000+00:00,26.415,28.955,27.844,212.0,250.0,False,83.214,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",282.0
1235,9515,20,2,2024-05-19T13:04:48.922000+00:00,26.623,28.938,27.752,210.0,253.0,False,83.313,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049]",280.0
1235,9515,77,2,2024-05-19T13:04:49.192000+00:00,26.73,29.146,27.748,209.0,250.0,False,83.624,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]",282.0
1235,9515,24,2,2024-05-19T13:04:49.781000+00:00,26.857,29.3,27.782,212.0,248.0,False,83.939,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]",282.0
1235,9515,2,2,2024-05-19T13:04:50.057000+00:00,27.116,29.223,27.903,211.0,253.0,False,84.242,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048]",286.0
1235,9515,14,2,2024-05-19T13:04:50.684000+00:00,26.789,29.291,28.106,213.0,251.0,False,84.186,"[2049, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2049, 2049, 2048, 2048, 2048]",285.0
1235,9515,1,3,2024-05-19T13:06:00.540000+00:00,25.743,28.104,27.025,216.0,250.0,False,80.872,"[2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2051, 2049, 2049, 2048, 2048, 2048, 2048]",281.0
1235,9515,4,3,2024-05-19T13:06:01.505000+00:00,25.817,28.151,26.916,214.0,251.0,False,80.884,"[2048, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",293.0
1235,9515,16,3,2024-05-19T13:06:02.526000+00:00,25.573,28.359,26.999,210.0,251.0,False,80.931,"[2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",283.0
1235,9515,55,3,2024-05-19T13:06:03.268000+00:00,25.426,28.351,27.189,214.0,253.0,False,80.966,"[2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",285.0
1235,9515,81,3,2024-05-19T13:06:04.024000+00:00,25.315,28.254,27.239,215.0,254.0,False,80.808,"[2049, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",286.0
1235,9515,63,3,2024-05-19T13:06:05.061000+00:00,25.452,28.312,27.371,214.0,248.0,False,81.135,"[None, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",290.0
1235,9515,44,3,2024-05-19T13:06:05.998000+00:00,25.398,28.589,27.235,213.0,251.0,False,81.222,"[None, 2049, 2051, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",282.0
1235,9515,27,3,2024-05-19T13:06:06.846000+00:00,25.624,28.466,27.61,211.0,251.0,False,81.7,"[2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",283.0
1235,9515,22,3,2024-05-19T13:06:07.683000+00:00,25.648,28.567,27.543,213.0,252.0,False,81.758,"[None, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",284.0
1235,9515,11,3,2024-05-19T13:06:08.460000+00:00,25.783,28.569,27.561,213.0,252.0,False,81.913,"[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2051, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",294.0
1235,9515,3,3,2024-05-19T13:06:09.200000+00:00,25.745,28.729,27.609,212.0,250.0,False,82.083,"[None, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]",282.0
1235,9515,31,3,2024-05-19T13:06:09.945000+00:00,25.858,28.782,27.65,209.0,249.0,False,82.29,"[None, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",279.0
1235,9515,18,3,2024-05-19T13:06:10.639000+00:00,25.79,28.756,27.81,209.0,248.0,False,82.356,"[None, 2049, 2049, 2049, 2048, 2048]","[2049, 2049, 2049, 2049, 2048, 2049, 2048]","[2049, 2049, 2048, 2049, 2049, 2048, 2048, 2048]",282.0
1235,9515,23,3,2024-05-19T13:06:11.198000+00:00,25.926,28.95,27.776,210.0,253.0,False,82.652,"[None, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",283.0
1235,9515,10,3,2024-05-19T13:06:11.652000+00:00,25.987,28.971,27.794,210.0,247.0,False,82.752,"[None, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048]",278.0
1235,9515,20,3,2024-05-19T13:06:12.229000+00:00,25.868,29.115,27.754,209.0,254.0,False,82.737,"[2051, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2049, 2049, 2049, 2048, 2049, 2049, 2048]",280.0
1235,9515,77,3,2024-05-19T13:06:12.956000+00:00,25.891,28.98,27.891,211.0,252.0,False,82.762,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2048, 2049, 2049, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]",285.0
1235,9515,24,3,2024-05-19T13:06:13.687000+00:00,26.019,28.896,27.803,209.0,250.0,False,82.718,"[None, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2048, 2049, 2048]",283.0
1235,9515,2,3,2024-05-19T13:06:14.385000+00:00,26.056,28.999,27.729,,253.0,False,82.784,"[None, 2051, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048]",288.0
1235,9515,14,3,2024-05-19T13:06:14.796000+00:00,25.836,29.192,27.981,210.0,250.0,False,83.009,"[None, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",277.0
1235,9515,1,4,2024-05-19T13:07:21.413000+00:00,25.651,27.991,27.029,215.0,251.0,False,80.671,"[None, 2049, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2049, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",281.0
1235,9515,4,4,2024-05-19T13:07:22.387000+00:00,25.779,28.307,27.119,,249.0,False,81.205,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",274.0
